,Star_name,Constellation,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],Pegasus,46.1,0.045820224,0.10173537
1,2MASS J00040288-6410358,Tucana,192,0.018137172,0.16750369
2,LHS 102BC,Phoenix,,,
3,2MASS J00242463-0158201,Pisces,37.7,0.075412452,0.11201167
4,2MASS J00250365+4759191AB,Cassiopeia,143,,
5,2MASS J00274197+0503417,Pisces,236,0.029592228,0.14797872
6,2MASS J00275592+2219328,Andromeda,46.9,,
7,2MASSW J0030300-145033,Cetus,87.2,0.051547752,0.10070774
8,2MASS J00332386-1521309 [de],Cetus,131,0.027683052,0.14695109
9,2MASS J00345157+0523050,Pisces,31,0.040092696,0.09659722
10,2MASS 0036+1821,Pisces,28.6,0.040092696,0.09659722
11,2MASSW J0045214+163445,Pisces,57,0.021955524,0.16647606
12,WISEP J004701.06+680352.1 [fr],Cassiopeia,40,0.011455056,0.1335919
13,2MASS J00501994-3322402 [de],Sculptor,34,0.03818352,0.09659722
14,2MASS J00034227-2822410,Sculptor,,,
15,2MASS J00584253-0651239 [de],Cetus,96,0.027683052,0.14695109
16,CFBDS J005910.90–011401.3,Cetus,30,0.021955524,
17,2MASSI J0103320+193536,Pisces,70,0.049638576,0.10070774
18,SDSSp J010752.33+004156.1 [de],Cetus,51,0.049638576,0.10070774
19,2MASSI J0117474-340325 [de],Sculptor,163,0.01909176,0.16647606
20,2MASS J01415823-4633574 [de],Phoenix,130,0.01909176,0.16544843
21,SDSS J015141.69+124429.6,,70,0.044865636,0.09968011
22,DENIS-P J020529.0−115925A,Cetus,65,,
23,DENIS-P J020529.0−115925B,Cetus,65,,
24,DENIS-P J020529.0−115925C,Cetus,65,,
25,SDSS J020742.48+000056.2 [de],Cetus,111,0.044865636,0.09968011
26,2MASS J02103857-3015313,,101,0.01431882,0.15722739
27,2MASS J02340093-6442068,,155,0.01909176,0.16647606
28,2MASS J02411151-0326587 [de],Cetus,152,0.025773876,0.14489583
29,2MASS J02431371−2453298,Fornax,35,0.031501404,0.10173537
30,LP 771-21,,53,0.074457864,1.08
31,2MASS J02511327+0047364,,,,
32,Teegarden's star,Aries,12.578,0.07636704,0.13050901
33,2MASS J02535980+3206373,,184,0.06204822,0.1952497
34,WISE J0254+0223,Cetus,24,0.06204822,0.1952497
35,DEN 0255-4700,Eridanus,16.2,0.07636704,0.09968011
36,2MASS J03185403-3421292 [de],Fornax,45,0.046774812,0.09968011
37,2MASS J03205965+1854233,,47,0.084003744,0.11817745
38,2MASS J03231002-4631237,,192,0.021955524,0.17058658
39,SDSS J032553.17+042540.1,,59,0.04295646,0.09762485
40,2MASS J03264225-2102057 [de],Eridanus,80,0.017182584,0.1335919
41,2MASS J03284265+2302051 [de],Taurus,98,0.051547752,0.10070774
42,2MASS J03341218-4953322,,27,0.069684924,0.10687352
43,LP 944-20,Fornax,20.9,0.069684924,0.14695109
44,2MASP J0345432+254023,,88,0.070639512,0.10790115
45,Teide 1,Taurus,380,0.05250234,0.38844414
46,2MASS J03510004-0052452,,48,0.097367976,0.13050901
47,2MASS J03552337+1133437,Taurus,29.8,0.01909176,0.13564716
48,DENIS-P J035726.9-441730 [de],Horologium,130,,
49,2MASS J04151954−0935066,Eridanus,18.6,0.02863764,0.09762485
50,SDSSp J042348.57-041403.5 [de],Eridanus,50,,
51,2MASS J04285096-2253227 [de],Eridanus,85,0.07636704,0.11201167
52,2MASS J04351612-1606574,,34,0.0954588,0.12948138
53,2MASS J04362788-4114465,,142,0.037228932,0.20244311
54,2MASS J04390101-2353083 [de],Eridanus,29.5,0.045820224,0.09968011
55,2MASS J04414489+2301513,,470,0.018137172,
56,2MASS J04433764+0002040,,82,0.021000936,0.18291814
57,2MASS J04455387-3048204 [de],Caelum,42,0.061093632,0.102763
58,2MASS J04510093-3402150 [de],Caelum,69,0.000992772,7.398936
59,2MASS J05002100+0330501 [de],Orion,44,0.061093632,0.102763
60,2MASS J05012406-0010452 [de],Orion,64,0.020046348,0.14181294
61,2MASS J05160945-0445499 [de],Orion,73,0.044865636,0.09968011
62,2MASS J0523−1403,Lepus,40,0.064911984,0.10379063
63,2MASS 0532+8246,Camelopardalis,81,0.079230804,
64,SDSS J053951.99-005902.0,,41.62,0.058229868,0.10379063
65,2MASS J05591914-1404488 [de],Lepus,34,,
66,LSR 0602+3910 [de],Auriga,34.6,0.026728464,0.14489583
67,2MASS J06085283-2753583,,102,0.036274344,0.15517213
68,WISEP J061135.13-041024.0A,,69,0.06204822,
69,WISEP J061135.13-041024.0B,,69,0.050593164,
70,2MASS J06244595-4521548 [de],Puppis,39,0.053456928,0.10173537
71,2MASS J06411840-4322329 [de],Puppis,65,0.063957396,0.10379063
72,DENIS-P J0652197-253450 [de],Canis Major,51,0.0715941,0.10790115
73,2MASS J07003664+3157266 [de],Gemini,40,,
74,2MASS J07075327-4900503,,60,0.068730336,0.10584589
75,UGPS J072227.51-054031.2,Monoceros,13.4,0.024819288,0.10070774
76,2MASSI J0727182+171001 [de],Gemini,29.6,0.039138108,0.09659722
77,2MASS J07290002-3954043 [de],Puppis,25.8,0.035319756,0.09659722
78,SDSS J074201.41+205520.5 [de],Gemini,49,0.041047284,0.09659722
79,2MASS J0746425+200032 [fr],Gemini,49.6,,
80,DENIS-P J0751164-253043 [de],Puppis,55,0.067775748,0.10584589
81,2MASS J07522390+1612157,,60,0.001918722,6.987884
82,DENIS J081730.0-615520,Carina,16.1,0.042001872,0.09659722
83,DENIS J082303.1−491201A,Vela,67,0.042001872,
84,DENIS J082303.1−491201B,Vela,67,0.026728464,
85,2MASS J08251968+2115521 [de],Cancer,35,0.049638576,0.10070774
86,SDSSp J083008.12+482847.4 [de],Lynx,43,0.045820224,0.10173537
87,LHS 2021,,55,0.084003744,0.11817745
88,SDSS J083048.80+012831.1 [de],Hydra,77,0.043911048,0.09865248
89,2MASSI J0835425-081923 [de],Hydra,23.53,0.059184456,0.102763
90,2MASSI J0847287-153237 [de],Hydra,43,0.061093632,0.102763
91,2MASS J08533619-0329321,,27.6,0.073503276,0.10995641
92,2MASSI J0859254-194926 [de],Pyxis,50,0.0477294,0.10070774
93,2MASSW J0920122+351742 [de],Lynx,95,,
94,2MASSI J0937347+293142,Leo,20,0.040092696,0.09659722
95,2MASS 0939−2448,Antlia,17.4,0.030546816,0.09762485
96,2MASS J09490860-1545485 [de],Hydra,59,0.046774812,0.09865248
97,2MASS J10073369-4555147,,46,0.042001872,0.09659722
98,2MASSI J1010148-040649 [de],Sextans,55,0.048683988,0.10070774
99,2MASSI J1017075+130839 [de],Leo,108,,
100,SDSS J102109.69-030420.1,,95,,
101,2MASS J10224821+5825453 [de],Ursa Major,60,0.025773876,0.14489583
102,2MASSW J1036530-344138 [de],Antlia,53,0.046774812,0.09968011
103,2MASS J1047538+212423 [de],Leo,34.4,0.040092696,0.09659722
104,DEN 1048-3956,Antlia,13.15,0.073503276,0.10995641
105,Luhman 16B,Vela,6.516,0.041047284,0.10481826
106,Luhman 16A,Vela,6.516,0.03818352,0.10379063
107,DENIS-P J1058.7−1548,Crater,49,0.061093632,0.102763
108,TWA 28,,180,0.034365168,0.24560357
109,Cha 110913-773444,Chamaeleon,163,0.007636704,0.1849734
110,OTS 44,Chamaeleon,554,0.01431882,
111,SDSS J111010.01+011613.1,,63,0.008591292,0.12742612
112,2MASS J11145133−2618235,Hydra,18.2,0.031501404,0.09865248
113,TWA 26,,137,0.02863764,0.2260786
114,2MASSW J1146345+223053,,89,,
115,2MASS J11544223-3400390 [de],Hydra,129,0.035319756,0.1541445
116,2MASSW J1155395-372735 [de],Centaurus,31,0.061093632,0.102763
117,TWA 27A,,,,
118,TWA 27B,,,,
119,2MASS J12074836-3900043,,217,0.016227996,0.17572473
120,2MASSI J1217110-031113 [de],Virgo,36,0.040092696,0.09659722
121,2MASS J12255432-2739466,,43,,
122,DENIS-P J1228.2-1547,Corvus,66,,
123,2M 1237+6526,Draco,45.6,0.039138108,0.09659722
124,2MASSW J1239272+551537 [de],Ursa Major,119,,
125,TWA 29,,262,0.001909176,2.569075
126,SDSSp J125453.90-012247.4 [de],Virgo,38,0.044865636,0.10070774
127,Kelu-1A,Hydra,61,0.060139044,0.10070774
128,Kelu-1B,Hydra,61,0.055366104,0.10070774
129,2MASS J13204427+0409045,,101,0.063957396,0.10379063
130,SDSSp J132629.82-003831.5 [de],Virgo,65,0.048683988,0.09968011
131,SDSSp J134646.45-003150.4 [de],Virgo,48,0.042001872,0.09659722
132,2MASS J13595510-4034582,,51,0.060139044,0.102763
133,ULAS J141623.94+134836.3,,29.7,0.030546816,0.09865248
134,SDSS J141659.78+500626.4 [de],Boötes,149,0.056320692,0.10173537
135,DENIS-P J142527.97-365023.4 [de],Centaurus,38,0.020046348,0.13564716
136,LHS 2924,Boötes,38.5,0.072548688,0.10892878
137,2MASS J14392837+1929150,,47,0.068730336,0.10584589
138,LSPM J1440+1339,,72,0.087822096,0.12228797
139,2MASS J14482563+1031590 [de],Boötes,47,0.056320692,0.10173537
140,CFBDSIR 1458+10A,Boötes,104,0.010595927,0.1541445
141,CFBDSIR 1458+10B,Boötes,104,0.008591292,0.1335919
142,TVLM 513-46546,Boötes,35.1,0.0715941,0.10790115
143,2MASS 1503+2525,Boötes,20.7,0.042001872,0.09659722
144,CFBDS J150411+102717,,71,0.042001872,0.09659722
145,2MASSW J1506544+132106 [de],Boötes,46,0.065866572,0.10481826
146,2MASS 1507−1627,Libra,23.9,0.05727528,0.10173537
147,TVLM 868-110639,,53,0.075412452,0.11098404
148,SDSS J151114.66+060742.9 [de],Serpens,89,,
149,2MASSW J1515008+484742 [de],Boötes,34,0.054411516,0.10173537
150,2MASSI J1526140+204341 [de],Serpens,67,0.051547752,0.10070774
151,DENIS-P J153941.96-052042.4 [de],Libra,51,0.060139044,0.102763
152,2MASS J15462718-3325111 [de],Lupus,37,0.042001872,0.09659722
153,2MASSW J1552591+294849 [de],Corona Borealis,68,0.02863764,0.14695109
154,2MASSW J1555157-095605 [de],Libra,44,0.067775748,0.10584589
155,2MASS J16150413+1340079 [de],Hercules,48,0.040092696,0.09659722
156,SDSSp J162414.37+002915.6 [de],Serpens,36,0.041047284,0.09659722
157,2MASS J16262034+3925190 [de],Hercules,110,0.067775748,0.10584589
158,2MASSW J1632291+190441 [de],Hercules,50,0.046774812,0.09968011
159,WISEPA J164715.59+563208.2,,28,0.039138108,0.09659722
160,LSPM J1658+7027 [de],Draco,60,0.069684924,0.10687352
161,2MASSI J1726000+153819,,114,0.022910112,0.1438682
162,2MASSW J1728114+394859,,79,,
163,SDSSp J175032.96+175903.9,,90,0.044865636,0.09968011
164,2MASS J18283572-4849046,,39,0.04295646,0.09762485
